,전체,강,강,강,강,약,약,약,약
세부 시나리오,전체,전체,강강,강약,약강,전체,강약,약강,약약
N,440,289,234,12,43,151,16,11,124
BH min,-17.17,-6.056,-6.056,-4.177,-0.463,-17.17,-6.992,0.059,-17.17
BH 1Q,-0.5795,2.512,3.22375,-3.68875,1.961,-6.538,-5.19775,1.8165,-7.14825
BH median,2.927,6.922,8.941500000000001,-1.1680000000000001,5.296,-2.637,-3.317,2.261,-3.238
BH 3Q,10.873000000000001,16.302,17.278000000000002,0.7795000000000001,10.2215,0.2395,-0.055749999999999994,4.7225,-0.07775000000000001
BH max,56.765,56.765,56.765,2.028,27.461,9.309,3.276,9.151,9.309
DCA1 왜도,0.7682825526458776,0.850078148649201,0.8368354436654559,-0.15210855123426814,0.9450038038720293,0.6123162830715085,0.6495177999332468,1.873975163469163,0.6148515875846317
DCA1 첨도,1.0965745839809018,0.640649060185547,0.6051709954719802,-1.1219975139840819,-0.20573399864368325,2.456106567653194,0.17510265287919013,3.6663861705482965,2.517120393735845
DCA1 min,-29.253,-18.537,-18.537,-15.14,-4.251,-29.253,-11.277,1.932,-29.253
DCA1 1Q,-1.1155000000000002,0.834,0.86725,-8.875,1.9075,-7.278499999999999,-7.39675,5.920999999999999,-7.83825
DCA1 median,3.2305,5.872,6.718,-4.986000000000001,6.08,-0.376,-3.917,8.575,-0.367
DCA1 3Q,11.61825,14.901,15.0855,0.41975,17.014499999999998,6.3575,-0.67675,10.6045,5.2005
DCA1 max,50.088,50.088,50.088,3.727,34.18,43.415,8.305,32.232,43.415
DCA1* 왜도,0.8994008465383868,0.941160095662916,0.9292815741808496,-0.12304231655762177,0.9767192163556079,0.8169215924664792,0.6918631417826636,1.9091053191733507,0.8285899771456655
DCA1* 첨도,1.237370640942586,0.7620569372146351,0.7162143393378444,-1.155493237326315,-0.14157076441218175,2.825072906601667,0.24214281215543876,3.803358434474612,2.9355082538781945
DCA1* min,-52.926,-34.42,-34.42,-28.31,-8.107,-52.926,-21.244,3.719,-52.926
DCA1* 1Q,-2.13825,1.604,1.66775,-16.791249999999998,3.6725,-13.810500000000001,-14.0315,11.468,-14.857999999999999
DCA1* median,6.2325,11.372,13.025500000000001,-9.4975,11.778,-0.721,-7.4735,16.668,-0.7044999999999999
DCA1* 3Q,22.6745,29.205,29.5725,0.8089999999999999,33.4355,12.3205,-1.298,20.6715,10.06125
DCA1* max,101.805,101.805,101.805,7.195,68.449,87.718,16.137,64.42,87.718
